Index,Process,Time,Temp,Current,Date
127,4,오후 4:35:37.0,69.13914228339809,1.618,2021-09-06
128,4,오후 4:35:42.0,68.66042141558682,1.626,2021-09-06
129,4,오후 4:35:47.0,71.1776601448583,1.565,2021-09-06
130,4,오후 4:35:52.0,71.58643440551927,1.554,2021-09-06
131,4,오후 4:35:57.0,71.87710395778115,1.612,2021-09-06
132,4,오후 4:36:02.0,70.01353466824737,1.621,2021-09-06
133,4,오후 4:36:07.0,69.20403500015834,1.627,2021-09-06
134,4,오후 4:36:12.0,67.87178422074807,1.585,2021-09-06
135,4,오후 4:36:17.0,70.49957940787253,1.567,2021-09-06
136,4,오후 4:36:22.0,69.86391347156295,1.536,2021-09-06
137,4,오후 4:36:27.0,68.9081485396546,1.596,2021-09-06
138,4,오후 4:36:32.0,70.66209655792429,1.581,2021-09-06
139,4,오후 4:36:37.0,74.54880087852413,1.7888701798156859,2021-09-06
140,4,오후 4:36:42.0,67.19333628680197,1.6,2021-09-06
141,4,오후 4:36:47.0,65.28386418628695,1.471,2021-09-06
142,4,오후 4:36:52.0,67.3394548018018,1.52,2021-09-06
143,4,오후 4:36:57.0,67.49933688835523,1.478,2021-09-06
144,4,오후 4:37:02.0,65.81608582210924,1.524,2021-09-06
145,5,오후 4:37:28.3,75.13914228339809,1.527,2021-09-06
146,5,오후 4:37:33.3,74.66042141558682,1.49,2021-09-06
147,5,오후 4:37:38.3,75.1776601448583,1.702,2021-09-06
148,5,오후 4:37:43.3,77.58643440551927,1.69,2021-09-06
149,5,오후 4:37:48.3,74.87710395778115,1.702,2021-09-06
150,5,오후 4:37:53.3,83.6537525059191,1.9593749821672535,2021-09-06
151,5,오후 4:37:58.3,74.20403500015834,1.696,2021-09-06
152,5,오후 4:38:03.3,73.87178422074807,1.699,2021-09-06
153,5,오후 4:38:08.3,72.49957940787253,1.68,2021-09-06
154,5,오후 4:38:13.3,74.86391347156295,1.673,2021-09-06
155,5,오후 4:38:18.3,75.9081485396546,1.641,2021-09-06
156,5,오후 4:38:23.3,73.66209655792429,1.695,2021-09-06
157,5,오후 4:38:28.3,69.00784572726687,1.719,2021-09-06
158,5,오후 4:38:33.3,72.11937724252256,1.667,2021-09-06
159,5,오후 4:38:38.3,70.12181233844662,1.562,2021-09-06
160,5,오후 4:38:43.3,71.06197573575812,1.633,2021-09-06
161,5,오후 4:38:48.3,72.0864964282445,1.588,2021-09-06
162,5,오후 4:38:53.3,70.25677527359753,1.609,2021-09-06
163,5,오후 4:38:58.3,70.00784572726687,1.632,2021-09-06
164,5,오후 4:39:03.3,69.11937724252256,1.59,2021-09-06
165,5,오후 4:39:08.3,69.12181233844662,1.584,2021-09-06
166,5,오후 4:39:13.3,71.06197573575812,1.565,2021-09-06
167,5,오후 4:39:18.4,70.0864964282445,1.564,2021-09-06
168,5,오후 4:39:23.4,71.25677527359753,1.609,2021-09-06
169,5,오후 4:39:28.4,66.20403500015834,1.587,2021-09-06
170,5,오후 4:39:33.4,68.87178422074807,1.613,2021-09-06
171,5,오후 4:39:38.4,68.49957940787253,1.498,2021-09-06
172,5,오후 4:39:43.4,67.86391347156295,1.559,2021-09-06
173,5,오후 4:39:48.4,69.9081485396546,1.55,2021-09-06
174,5,오후 4:39:53.4,70.66209655792429,1.536,2021-09-06
175,5,오후 4:39:58.4,65.08489761472396,1.582,2021-09-06
176,5,오후 4:40:03.4,65.47081535284565,1.599,2021-09-06
177,5,오후 4:40:08.4,64.84317473479867,1.473,2021-09-06
178,5,오후 4:40:13.4,67.18546553761685,1.482,2021-09-06
179,5,오후 4:40:18.4,68.55671042933152,1.467,2021-09-06
180,5,오후 4:40:23.4,65.93957562396797,1.521,2021-09-06
181,6,오후 4:40:50.2,75.04198315231801,1.552,2021-09-06
182,6,오후 4:40:55.2,75.31247367223635,1.492,2021-09-06
183,6,오후 4:41:00.2,76.53366359223965,1.699,2021-09-06
184,6,오후 4:41:05.2,73.74042366970423,1.705,2021-09-06
185,6,오후 4:41:10.2,77.04518510357609,1.733,2021-09-06
186,6,오후 4:41:15.2,76.47249049518311,1.67,2021-09-06
187,6,오후 4:41:20.2,71.04198315231801,1.745,2021-09-06
188,6,오후 4:41:25.2,72.31247367223635,1.732,2021-09-06
189,6,오후 4:41:30.2,72.53366359223965,1.608,2021-09-06
190,6,오후 4:41:35.2,72.74042366970423,1.637,2021-09-06
191,6,오후 4:41:40.2,74.04518510357609,1.642,2021-09-06
192,6,오후 4:41:45.2,73.47249049518311,1.646,2021-09-06
193,6,오후 4:41:50.2,71.00784572726687,1.677,2021-09-06
194,6,오후 4:41:55.3,72.11937724252256,1.664,2021-09-06
195,6,오후 4:42:00.3,72.12181233844662,1.608,2021-09-06
196,6,오후 4:42:05.3,72.06197573575812,1.632,2021-09-06
197,6,오후 4:42:10.3,72.0864964282445,1.633,2021-09-06
198,6,오후 4:42:15.3,70.25677527359753,1.631,2021-09-06
199,6,오후 4:42:20.3,68.04198315231801,1.632,2021-09-06
200,6,오후 4:42:25.3,70.31247367223635,1.591,2021-09-06
201,6,오후 4:42:30.3,71.53366359223965,1.54,2021-09-06
202,6,오후 4:42:35.3,71.74042366970423,1.591,2021-09-06
203,6,오후 4:42:40.3,71.04518510357609,1.619,2021-09-06
204,6,오후 4:42:45.3,69.47249049518311,1.624,2021-09-06
205,6,오후 4:42:50.3,66.00784572726687,1.609,2021-09-06
206,6,오후 4:42:55.3,68.11937724252256,1.572,2021-09-06
207,6,오후 4:43:00.3,66.12181233844662,1.494,2021-09-06
208,6,오후 4:43:05.3,66.06197573575812,1.542,2021-09-06
209,6,오후 4:43:10.3,66.0864964282445,1.496,2021-09-06
210,6,오후 4:43:15.3,69.25677527359753,1.495,2021-09-06
211,6,오후 4:43:20.3,64.01093857044455,1.496,2021-09-06
212,6,오후 4:43:25.3,64.19333628680197,1.567,2021-09-06
213,6,오후 4:43:30.4,65.28386418628695,1.448,2021-09-06
214,6,오후 4:43:35.4,67.3394548018018,1.452,2021-09-06
215,6,오후 4:43:40.4,65.49933688835523,1.478,2021-09-06
216,6,오후 4:43:45.4,64.81608582210924,1.524,2021-09-06
217,7,오후 4:44:13.2,75.04198315231801,1.482,2021-09-06
218,7,오후 4:44:18.2,73.31247367223635,1.466,2021-09-06
219,7,오후 4:44:23.2,76.53366359223965,1.699,2021-09-06
220,7,오후 4:44:28.2,73.74042366970423,1.66,2021-09-06
221,7,오후 4:44:33.2,74.04518510357609,1.734,2021-09-06
222,7,오후 4:44:38.2,74.47249049518311,1.67,2021-09-06
223,7,오후 4:44:43.2,72.13914228339809,1.676,2021-09-06
224,7,오후 4:44:48.2,73.66042141558682,1.686,2021-09-06
225,7,오후 4:44:53.3,74.1776601448583,1.633,2021-09-06
226,7,오후 4:44:58.3,73.58643440551927,1.668,2021-09-06
227,7,오후 4:45:03.3,73.87710395778115,1.68,2021-09-06
228,7,오후 4:45:08.3,76.01353466824737,1.666,2021-09-06
229,7,오후 4:45:13.3,71.04198315231801,1.673,2021-09-06
230,7,오후 4:45:18.3,71.31247367223635,1.721,2021-09-06
231,7,오후 4:45:23.3,70.53366359223965,1.608,2021-09-06
232,7,오후 4:45:28.3,71.74042366970423,1.614,2021-09-06
233,7,오후 4:45:33.3,70.04518510357609,1.596,2021-09-06
234,7,오후 4:45:38.3,75.27600419603543,1.6638639848798402,2021-09-06
235,7,오후 4:45:43.3,68.01093857044455,1.585,2021-09-06
236,7,오후 4:45:48.3,69.19333628680197,1.663,2021-09-06
237,7,오후 4:45:53.3,69.28386418628695,1.539,2021-09-06
238,7,오후 4:45:58.3,68.3394548018018,1.566,2021-09-06
239,7,오후 4:46:03.3,71.49933688835523,1.568,2021-09-06
240,7,오후 4:46:08.4,70.81608582210924,1.547,2021-09-06
241,7,오후 4:46:13.4,67.20403500015834,1.618,2021-09-06
242,7,오후 4:46:18.4,69.87178422074807,1.603,2021-09-06
243,7,오후 4:46:23.4,69.49957940787253,1.521,2021-09-06
244,7,오후 4:46:28.4,67.86391347156295,1.582,2021-09-06
245,7,오후 4:46:33.4,69.9081485396546,1.573,2021-09-06
246,7,오후 4:46:38.4,69.66209655792429,1.536,2021-09-06
247,7,오후 4:46:43.4,67.01093857044455,1.582,2021-09-06
248,7,오후 4:46:48.4,64.19333628680197,1.577,2021-09-06
249,7,오후 4:46:53.4,65.28386418628695,1.517,2021-09-06
250,7,오후 4:46:58.4,66.3394548018018,1.452,2021-09-06
251,7,오후 4:47:03.4,67.49933688835523,1.478,2021-09-06
252,7,오후 4:47:08.4,65.81608582210924,1.501,2021-09-06
253,8,오후 4:47:34.8,76.01093857044455,1.528,2021-09-06
254,8,오후 4:47:39.8,74.19333628680197,1.489,2021-09-06
255,8,오후 4:47:44.8,74.28386418628695,1.721,2021-09-06
256,8,오후 4:47:49.8,75.3394548018018,1.68,2021-09-06
257,8,오후 4:47:54.9,75.49933688835523,1.682,2021-09-06
258,8,오후 4:47:59.9,74.81608582210924,1.706,2021-09-06
259,8,오후 4:48:04.9,71.13914228339809,1.71,2021-09-06
260,8,오후 4:48:09.9,73.66042141558682,1.694,2021-09-06
